nops,cycles
669,4683
670,4815
671,4736
672,4615
673,4721
674,4792
675,4664
676,4753
677,4605
678,4674
679,4798
680,4672
681,4710
682,4844
683,4591
684,4703
685,4788
686,4722
687,4820
688,4664
689,4718
690,4841
691,4839
692,4736
693,4825
694,4704
695,4808
696,4816
697,4759
698,4744
699,4837
700,4781
701,4909
702,4977
703,4911
704,4800
705,4905
706,4972
707,4863
708,4935
709,4904
710,4993
711,4944
712,4793
713,5013
714,4956
715,4887
716,4954
717,4973
718,5006
719,4979
720,4986
721,4878
722,4968
723,5038
724,4944
725,4969
726,5031
727,4998
728,4937
729,5086
730,5003
731,4964
732,5053
733,5132
734,5121
735,5117
736,5164
737,5150
738,5112
739,5026
740,5230
741,5080
742,5057
743,5186
744,5212
745,5136
746,5071
747,5317
748,5054
749,5215
750,5281
751,5164
752,5113
753,5237
754,5326
755,5089
756,5237
757,5186
758,5280
759,5234
760,5159
761,5221
762,5248
763,5200
764,5330
765,5386
766,5505
767,5216
768,5369
769,5369
770,5352
771,5384
772,5340
773,5295
774,5338
775,5338
776,5505
777,5293
778,5362
779,5349
780,5397
781,5501
782,5458
783,5424
784,5492
785,5444
786,5340
787,5488
788,5397
789,5469
790,5455
791,5366
792,5384
793,5456
794,5488
795,5449
796,5479
797,5568
798,5518
799,5621
800,5573
801,5529
802,5622
803,5605
804,5520
805,5557
806,5512
807,5566
808,5633
809,5674
810,5605
811,5554
812,5562
813,5531
814,5729
815,5622
816,5772
817,5682
818,5661
819,5712
820,5678
821,5710
822,5646
823,5674
824,5638
825,5621
826,5591
827,5651
828,5643
829,5798
830,5797
831,5777
832,5849
833,5767
834,5737
835,5782
836,5717
837,5861
838,5730
839,5922
840,5780
841,5922
842,5798
843,5766
844,5861
845,5868
846,5928
847,5889
848,5933
849,5883
850,5803
851,5920
852,5907
853,5925
854,5860
855,5910
856,5925
857,5944
858,5894
859,5851
860,5862
861,5974
862,5941
863,5974
864,6021
865,6022
866,5974
867,6011
868,6007
869,6014
870,6020
871,6005
872,6047
873,6010
874,6063
875,6015
876,5975
